Materias;Questão;Gabarito;Dificuldade;Assunto;
Matemática;q1;C;Fácil;Função;
Matemática;q2;A;Médio;Razão e Proporção;
Matemática;q3;E;Médio;Geometria Espacial;
Matemática;q4;C;Fácil;Porcentagem;
Matemática;q5;B;Difícil;Razão e Proporção;
Matemática;q6;D;Fácil;Razão e Proporção;
Matemática;q7;A;Médio;Geometria Espacial;
Matemática;q8;B;Fácil;Porcentagem;
Matemática;q9;E;Médio;Razão e Proporção;
Matemática;q10;D;Fácil;Interpretação de Gráfico;
Matemática;q11;E;Médio;Geometria Espacial;
Matemática;q12;A;Difícil;Logaritmo;
Matemática;q13;B;Médio;Equação;
Física;q14;A;MÉDIO;Dinâmica;
Física;q15;C;MÉDIO;Dilatação;
Física;q16;B;MÉDIO;cinemática;
Física;q17;D;MÉDIO;fases da matéria;
Física;q18;D;FÁCIL;calorimetria;
Física;q19;B;MÉDIO;calor;
Física;q20;A;MÉDIO;termodinâmica;
Português;q21;D;Média;Interpretação textual;
Português;q22;D;Média;Interpretação textual;
Português;q23;C;Difícil;Variação Linguística;
Português;q24;D;Fácil;Variação Linguística;
Português;q25;A;Média;Variação Linguística;
Português;q26;E;Fácil;Variação Linguística;
Português;q27;A;Média;Variação Linguística;
Português;q28;B;Média;Análise Linguística;
Português;q29;B;Fácil;Análise Linguística;
Português;q30;B;Média;Análise Linguística;
Química;q31;C;Fácil;Tabela periódica;
Química;q32;D;Fácil;Tabela periódica e propriedades periódicas;
Química;q33;A;Fácil;Polaridade e interações intermoleculares;
Química;q34;C;Fácil;Tabela periódica e propriedades periódicas;
Química;q35;C;Médio;Métodos de separação de misturas;
Biologia;q36;B;MÉDIO;Reino Animal - Geral;
Biologia;q37;D;FÁCIL;Protozoários;
Biologia;q38;D;MÉDIO;Bactérias;
Biologia;q39;D;MÉDIO;Reino Animal - Verminoses;
Biologia;q40;D;FÁCIL;Reino Animal - Artrópodes;
Geografia;q41;E;Médio;Industrialização brasileira;
Geografia;q42;C;Difícil;Matriz energética;
Geografia;q43;A;Médio;Demografia brasileira;
Geografia;q44;B;Fácil;Fusos horários e coordenadas;
Geografia;q45;E;Médio;Geomorfologia do Brasil;
História;q46;C;Médio;Brasil Colonial;
História;q47;E;Médio;Segundo Reinado;
História;q48;A;Médio;Era Vargas;
História;q49;E;Médio;Segundo Reinado;
História;q50;A;Fácil;Era Vargas;
